Date,Open,High,Low,Close,Volume,Adj Close
2009-02-24,198.88,202.97,159.61,161.58,29215000,161.58
2009-02-23,177.51,201.99,175.61,201.99,27268800,201.99
2009-02-20,201.03,213.09,180.83,188.25,40701300,188.25
2009-02-19,164.83,187.27,162.43,186.12,27686900,186.12
2009-02-18,161.83,178.75,161.50,170.70,30509300,170.70
2009-02-17,158.21,169.96,157.76,169.10,32728100,169.10
2009-02-13,141.20,146.11,137.05,145.53,26650100,145.53
2009-02-12,140.16,150.38,134.40,135.14,35238300,135.14
2009-02-11,142.13,143.20,133.11,133.49,25620100,133.49
2009-02-10,126.13,147.80,123.95,145.53,44260400,145.53
2009-02-09,123.93,127.89,120.00,122.88,19804200,122.88
2009-02-06,139.45,140.98,123.68,126.29,26467600,126.29
2009-02-05,154.03,161.92,139.20,145.62,33795400,145.62
2009-02-04,145.85,152.75,139.63,151.14,27681300,151.14
2009-02-03,139.12,152.50,138.87,148.25,28420200,148.25
2009-02-02,151.88,153.76,141.28,142.95,25690700,142.95
2009-01-30,133.66,148.10,131.16,143.26,32128600,143.26
2009-01-29,127.80,138.13,126.35,136.74,29388900,136.74
2009-01-28,134.25,136.19,119.00,120.30,30113700,120.30
2009-01-27,158.24,163.49,152.94,153.72,23399900,153.72
2009-01-26,154.73,168.61,146.72,163.30,29119500,163.30
2009-01-23,182.66,184.22,156.19,158.78,29407900,158.78
2009-01-22,164.48,175.40,154.55,167.66,38544000,167.66
2009-01-21,183.52,195.69,150.00,152.40,39133900,152.40
2009-01-20,167.28,200.00,166.18,199.43,43508000,199.43
2009-01-16,140.19,168.37,137.87,154.90,39865300,154.90
2009-01-15,141.00,161.15,139.58,150.07,51827600,150.07
2009-01-14,133.80,142.00,133.61,140.46,35391400,140.46
2009-01-13,134.46,136.42,124.25,126.90,36453500,126.90
2009-01-12,120.00,133.81,119.50,130.46,27633900,130.46
2009-01-09,110.41,119.21,109.71,118.46,22034100,118.46
2009-01-08,112.76,114.63,109.17,111.44,24468300,111.44
2009-01-07,105.89,111.65,104.87,110.79,21875300,110.79
2009-01-06,103.28,104.96,99.55,101.98,21664100,101.98
2009-01-05,103.20,107.03,101.56,105.84,19097200,105.84
2009-01-02,104.00,108.54,100.33,102.05,15266100,102.05
2008-12-31,110.24,111.74,102.20,103.01,10773400,103.01
2008-12-30,118.72,119.25,110.40,111.16,9171300,111.16
2008-12-29,116.47,123.35,116.00,119.68,8476200,119.68
2008-12-26,115.46,119.98,115.00,116.82,4147600,116.82
2008-12-24,120.17,122.70,117.50,117.61,3490800,117.61
2008-12-23,114.98,121.26,114.15,120.77,14203600,120.77
2008-12-22,110.40,120.72,109.17,116.71,16057700,116.71
2008-12-19,110.66,114.02,105.64,110.40,17208400,110.40
2008-12-18,103.56,113.46,102.03,111.04,20640800,111.04
2008-12-17,107.89,109.71,100.00,105.47,22024400,105.47
2008-12-16,104.70,127.70,104.08,104.70,26501600,104.70
2008-12-15,122.85,135.67,122.61,130.86,25797000,130.86
2008-12-12,140.47,141.05,121.92,122.36,31782400,122.36
2008-12-11,116.20,130.43,114.19,128.88,27009000,128.88
2008-12-10,109.95,118.35,108.21,111.70,26790700,111.70
2008-12-09,106.25,112.46,101.10,111.50,32635200,111.50
2008-12-08,107.26,110.71,101.06,102.50,25800900,102.50
2008-12-05,145.00,145.47,115.00,117.18,27088500,117.18
2008-12-04,141.13,144.05,124.24,138.62,29248100,138.62
2008-12-03,163.00,164.35,132.23,135.00,27565500,135.00
2008-12-02,167.45,180.33,148.13,150.35,28361900,150.35
2008-12-01,144.98,178.72,144.95,174.65,23982700,174.65
2008-11-28,142.49,144.49,133.61,135.05,7439700,135.05
2008-11-26,165.00,165.67,140.63,141.90,17284900,141.90
2008-11-25,160.80,172.38,151.95,156.12,26270700,156.12
2008-11-24,229.25,232.00,161.02,173.99,21230800,173.99
2008-11-21,242.92,303.82,242.24,244.12,23772700,244.12
2008-11-20,230.80,274.57,219.08,262.45,29059100,262.45
2008-11-19,187.81,226.45,186.31,222.83,27660000,222.83
2008-11-18,180.19,200.96,176.90,183.59,23677100,183.59
2008-11-17,169.39,182.68,166.05,180.54,21843100,180.54
2008-11-14,156.24,167.03,148.20,164.99,23848300,164.99
2008-11-13,170.77,195.51,147.12,148.60,32921600,148.60
2008-11-12,161.66,175.69,157.41,173.93,22852000,173.93
2008-11-11,154.00,162.59,148.20,156.00,26178100,156.00
2008-11-10,134.25,153.81,131.71,148.42,24381700,148.42
2008-11-07,141.73,148.35,136.44,137.85,18748800,137.85
2008-11-06,132.69,146.21,128.23,144.33,25343700,144.33
2008-11-05,114.09,130.00,112.83,128.43,20138200,128.43
2008-11-04,119.63,120.44,110.23,110.73,15012500,110.73
2008-11-03,125.07,126.22,121.53,124.00,11504400,124.00
2008-10-31,140.06,140.58,123.59,124.38,18375300,124.38
2008-10-30,133.70,143.15,132.10,137.23,17805200,137.23
2008-10-29,138.87,145.00,126.49,144.90,23914700,144.90
2008-10-28,162.68,185.46,136.00,136.00,22910000,136.00
2008-10-27,166.30,178.02,157.27,177.99,19130900,177.99
2008-10-24,180.00,180.11,156.54,163.81,29085100,163.81
2008-10-23,148.25,170.75,145.31,152.26,31555800,152.26
2008-10-22,138.37,156.79,135.82,148.30,23921600,148.30
2008-10-21,132.87,133.35,124.36,132.20,21687900,132.20
2008-10-20,129.95,139.21,127.60,127.60,22083100,127.60
2008-10-17,136.87,138.59,121.64,135.25,23651400,135.25
2008-10-16,130.64,152.49,128.80,130.00,29002400,130.00
2008-10-15,123.06,137.19,119.66,135.50,23583200,135.50
2008-10-14,114.55,123.85,105.66,114.06,35518700,114.06
2008-10-13,135.63,154.55,123.00,123.82,30111100,123.82
2008-10-10,193.42,205.35,155.18,158.00,40722900,158.00
2008-10-09,140.70,184.00,138.75,181.49,46544000,181.49
2008-10-08,154.63,155.27,133.29,150.00,37112100,150.00
