Date,Close,Close,Close
1/10/2008,47.99,85.8,43.38
1/9/2008,47.92,85.75,43.45
1/8/2008,46.92,83.09,44.88
1/7/2008,48.17,87.1,42.75
1/4/2008,48.4,88.24,42.4
1/3/2008,50.62,96.6,38.9
1/2/2008,50.41,96.05,39.1
12/31/2007,51.22,99.22,37.98
12/28/2007,51.82,101.07,37.22
12/27/2007,51.87,101.35,37.07
12/26/2007,52.5,104.25,36.1
12/24/2007,52.24,103.2,36.44
12/21/2007,51.85,102,36.95
12/20/2007,50.9,98.58,38.22
12/19/2007,49.88,99.75,40.36
12/18/2007,49.89,98.84,40.67
12/17/2007,49.73,98.66,40.64
12/14/2007,50.97,103.4,38.92
12/13/2007,51.5,105.01,38.17
12/12/2007,51.78,106.58,37.69
12/11/2007,51.32,105.17,38.36
12/10/2007,52.54,109.91,36.63
12/7/2007,52.33,109.27,36.83
12/6/2007,52.32,108.54,37.14
12/5/2007,51.58,106.17,37.92
12/4/2007,50.67,102.54,39.43
12/3/2007,50.88,103.53,39.1
11/30/2007,51.31,105.46,38.22
11/29/2007,51.7,106.25,37.95
11/28/2007,51.48,105.45,38.15
11/27/2007,49.96,99.48,40.82
11/26/2007,48.98,96.5,42.15
11/23/2007,49.84,99.16,40.82
11/21/2007,49.31,96.8,41.88
11/20/2007,49.9,99.86,40.7
11/19/2007,49.7,99.12,41.06
11/16/2007,50.28,101.71,39.9
11/15/2007,49.82,99.75,40.8
11/14/2007,50.09,101.67,40.03
11/13/2007,50.74,103.07,39.7
11/12/2007,48.73,95.35,42.9
11/9/2007,50,100.63,40.82
11/8/2007,51.73,106.7,38.48
11/7/2007,53.35,114.91,36
11/6/2007,54.68,120.55,34.43
11/5/2007,54.07,118.6,35
11/2/2007,54.42,120.06,34.7
11/1/2007,54,118.8,34.98
10/31/2007,55.03,122.47,34.04
10/30/2007,54.26,118.75,35
10/29/2007,54.15,118.73,35.13
10/26/2007,53.93,117.58,35.26
10/25/2007,53.05,116.12,35.79
10/24/2007,53.77,117.45,35.5
10/23/2007,54.18,118.18,35.27
10/22/2007,53.07,114.22,36.65
10/19/2007,52.44,111.86,37.4
10/18/2007,53.78,117.48,35.7
10/17/2007,53.55,116.69,35.86
10/16/2007,52.87,114.25,36.68
10/15/2007,53.12,114.78,36.49
10/12/2007,53.53,116.73,35.78
10/11/2007,52.66,113.45,37.08
10/10/2007,53.51,116.85,36.13
10/9/2007,53.38,116.2,35.95
10/8/2007,53.15,114.9,36.48
10/5/2007,52.82,114.04,36.81
10/4/2007,51.77,109,38.4
10/3/2007,51.65,108.5,38.6
10/2/2007,52.01,110.2,38.14
10/1/2007,52,109.95,37.92
9/28/2007,51.41,108.1,38.75
9/27/2007,51.58,108.75,38.61
9/26/2007,51.32,107.34,38.99
9/25/2007,51.07,106.39,39.03
9/24/2007,50.59,104.57,40.77
9/21/2007,50.36,103.45,40.94
9/20/2007,50.03,102.21,41.67
9/19/2007,50.17,102.87,41.39
9/18/2007,50.04,102.26,41.52
9/17/2007,48.81,97.19,43.97
9/14/2007,49.22,98.85,43
9/13/2007,49.18,98.86,43.09
9/12/2007,48.94,98.43,43.34
9/11/2007,48.93,98,43.4
9/10/2007,48.2,95.58,44.46
9/7/2007,48.23,95.73,44.55
9/6/2007,49.14,99,43.02
9/5/2007,49.18,99.26,43.19
9/4/2007,49.68,101.35,41.9
8/31/2007,48.87,97.93,43.5
8/30/2007,48.33,96.25,44.15
8/29/2007,48.08,94.79,44.92
8/28/2007,46.74,89.85,47.55
8/27/2007,47.88,93.87,45.64
8/24/2007,48.2,95.75,44.7
8/23/2007,47.53,93,46.13
8/22/2007,47.66,93.38,45.83
8/21/2007,47.02,91.25,46.95
8/20/2007,46.53,88.75,48.05
8/17/2007,46.31,88.18,48.5
8/16/2007,45.45,85.15,50.1
8/15/2007,45.9,87.15,49.37
8/14/2007,46.79,90.5,47.25
8/13/2007,47.6,93.48,46.19
8/10/2007,47.28,92.28,46.67
8/9/2007,47.71,94.05,46
8/8/2007,48.84,98.99,43.35
8/7/2007,48.31,96.17,44.94
8/6/2007,47.97,95,45.34
8/3/2007,47.42,93.17,46.55
8/2/2007,48.34,97.02,44.61
8/1/2007,47.9,92.92,45.45
7/31/2007,47.53,94,46.17
7/30/2007,48.55,98.18,44.02
7/27/2007,47.99,95.49,45.23
7/26/2007,48.98,99.45,43.74
7/25/2007,49.4,101.7,42.82
7/24/2007,49.33,101.56,42.71
7/23/2007,50.07,104.4,41.48
7/20/2007,50.05,104.57,41.61
7/19/2007,50.32,105.46,41.08
7/18/2007,50.17,105,41.43
7/17/2007,50.23,104.89,41.11
7/16/2007,49.85,103.85,41.75
7/13/2007,49.9,103.96,41.8
7/12/2007,49.56,102.45,42.34
7/11/2007,48.81,99.87,43.51
7/10/2007,48.48,98.21,44.21
7/9/2007,48.89,99.84,43.57
7/6/2007,48.86,99.75,43.51
7/5/2007,48.66,98.56,43.94
7/3/2007,48.31,97.45,44.51
7/2/2007,48.03,96.34,45.05
6/29/2007,47.6,95.13,45.61
6/28/2007,47.52,94.54,45.92
6/27/2007,47.54,94.3,45.81
6/26/2007,46.82,92.2,47.32
6/25/2007,47.09,93.25,47.16
6/22/2007,47.29,93.71,46.55
6/21/2007,47.74,95.58,45.74
6/20/2007,47.31,93.82,46.59
6/19/2007,47.76,95.53,45.76
6/18/2007,47.77,95.65,45.74
6/15/2007,47.76,95.75,45.69
6/14/2007,47.36,93.98,46.43
6/13/2007,47.05,92.35,47.15
6/12/2007,46.54,90.56,48.06
6/11/2007,46.82,91.8,47.59
6/8/2007,46.91,92.17,47.4
6/7/2007,46.34,89.76,48.61
6/6/2007,47.07,92.86,47.08
6/5/2007,47.58,95.03,46.05
6/4/2007,47.58,94.9,45.96
6/1/2007,47.44,94.63,46.29
5/31/2007,47.41,94.71,46.11
5/30/2007,47.19,93.53,46.65
5/29/2007,46.81,91.9,47.53
5/25/2007,46.45,90.74,48.15
5/24/2007,46.16,89.78,48.62
5/23/2007,46.83,92.39,47.35
5/22/2007,47.05,93.21,46.81
5/21/2007,47.01,93.1,46.99
5/18/2007,46.71,91.82,47.56
5/17/2007,46.33,90.34,48.37
5/16/2007,46.55,91.32,47.83
5/15/2007,46.1,89.65,48.77
5/14/2007,46.46,90.96,47.93
5/11/2007,46.78,92.29,47.26
5/10/2007,46.19,90.17,48.53
5/9/2007,46.83,92.49,47.22
5/8/2007,46.73,91.81,47.6
5/7/2007,46.63,91.86,47.57
5/4/2007,46.63,92.07,47.43
5/3/2007,46.59,91.85,47.5
5/2/2007,46.42,91.15,47.94
5/1/2007,46.11,90,48.67
4/30/2007,45.96,89.45,48.95
4/27/2007,46.57,91.85,47.55
4/26/2007,46.55,91.75,47.43
4/25/2007,46.31,90.8,48.13
4/24/2007,45.7,88.26,49.45
4/23/2007,45.47,87.56,49.78
4/20/2007,45.4,87.52,49.95
4/19/2007,45.15,86.22,50.45
4/18/2007,45.01,86.15,50.65
4/17/2007,45.16,86.48,50.37
4/16/2007,45.06,86.13,50.6
4/13/2007,44.65,84.65,51.45
4/12/2007,44.56,84.35,51.66
4/11/2007,44.21,82.91,52.58
4/10/2007,44.68,84.64,51.6
4/9/2007,44.45,83.99,51.97
4/5/2007,44.56,84.4,51.55
4/4/2007,44.34,83.5,52.12
4/3/2007,44.16,83.01,52.35
4/2/2007,43.59,80.68,53.86
3/30/2007,43.53,80.98,53.71
3/29/2007,43.57,80.7,53.88
3/28/2007,43.52,80.8,53.8
3/27/2007,43.99,82.51,52.6
3/26/2007,44.3,83.41,52.5
3/23/2007,44.12,82.77,52.77
3/22/2007,44.26,83.5,52.52
3/21/2007,44.42,84,52.11
3/20/2007,43.58,81,54.22
3/19/2007,43.27,79.93,54.9
3/16/2007,42.83,78.35,55.92
3/15/2007,42.89,78.64,55.8
3/14/2007,42.99,78.86,55.51
3/13/2007,42.37,76.73,57.23
3/12/2007,43.21,79.75,55.05
3/9/2007,42.93,79.02,55.45
3/8/2007,42.97,79.3,55.31
3/7/2007,42.68,77.85,56.28
3/6/2007,42.85,78.57,55.77
3/5/2007,42.15,75.8,57.88
3/2/2007,42.48,76.86,57
3/1/2007,43.13,79.65,55.09
2/28/2007,43.33,80.49,54.53
2/27/2007,43.19,78.8,55.46
2/26/2007,45.04,87.2,50.65
2/23/2007,45.26,88,50.25
2/22/2007,45.42,88.8,49.69
2/21/2007,45.19,87.87,50.15
2/20/2007,45.05,87.3,50.54
2/16/2007,44.71,86.3,51.02
2/15/2007,44.86,86.59,50.95
2/14/2007,44.6,85.68,51.42
2/13/2007,43.86,83.19,53
2/12/2007,43.71,82.29,53.5
2/9/2007,43.88,82.95,53.18
2/8/2007,44.45,85.62,51.53
2/7/2007,44.46,85.59,51.6
2/6/2007,44.06,83.6,52.8
2/5/2007,44.12,83.98,52.51
2/2/2007,44.16,84.27,52.52
2/1/2007,44,83.55,52.68
1/31/2007,44.07,83.45,52.47
1/30/2007,43.63,82.43,53.43
1/29/2007,43.61,82.21,53.72
1/26/2007,43.57,81.73,53.74
1/25/2007,43.73,82.3,53.22
1/24/2007,44.3,84.6,51.97
1/23/2007,43.58,82.11,53.56
1/22/2007,43.69,82.5,53.33
1/19/2007,44.17,84.15,52.4
1/18/2007,44.08,83.9,52.46
1/17/2007,44.91,87.48,50.54
1/16/2007,45.28,89.1,49.73
1/12/2007,45.31,89.1,49.35
1/11/2007,45.08,88.2,50
1/10/2007,44.62,86.75,50.93
1/9/2007,44.1,84.54,52.26
1/8/2007,43.88,83.52,52.8
1/5/2007,43.85,83,53
1/4/2007,44.06,84.22,52.28
1/3/2007,43.24,81.3,54.45
12/29/2006,43.16,81.04,54.45
12/28/2006,43.12,81.1,54.5
12/27/2006,43.33,81.79,53.9
12/26/2006,43.11,81,54.4
12/22/2006,42.93,80.6,54.62
12/21/2006,43.38,82.15,53.69
12/20/2006,43.69,83.3,52.95
12/19/2006,43.85,89.3,53
12/18/2006,43.99,89.65,52.72
12/15/2006,44.43,91.75,51.6
12/14/2006,44.37,91.15,51.91
12/13/2006,43.88,89.25,52.97
12/12/2006,43.8,89.02,53.12
12/11/2006,44.06,90.2,52.54
12/8/2006,43.9,89.5,52.88
12/7/2006,43.7,88.6,53.45
12/6/2006,44.26,90.82,52.1
12/5/2006,44.42,91.49,51.74
12/4/2006,44.26,91.05,51.7
12/1/2006,43.66,88.82,53.3
11/30/2006,44.04,90.02,52.48
11/29/2006,44.07,90.3,52.38
11/28/2006,43.77,88.85,53.09
11/27/2006,43.64,88.59,53.28
11/24/2006,44.65,92.77,51.14
11/22/2006,44.73,93.36,50.88
11/21/2006,44.45,92.2,51.4
11/20/2006,44.39,91.95,51.55
11/17/2006,44.3,91.6,51.77
11/16/2006,44.3,91.8,51.71
11/15/2006,44.11,90.87,52.07
11/14/2006,43.93,90.3,52.41
11/13/2006,43.47,88.05,53.65
11/10/2006,43.03,86.65,54.7
11/9/2006,42.83,85.7,55.2
11/8/2006,43.03,86.91,54.28
11/7/2006,42.83,85.75,55.28
11/6/2006,42.54,84.05,56
11/3/2006,41.93,82.2,57.53
11/2/2006,42.04,82.68,57.49
11/1/2006,42,82.6,57.3
10/31/2006,42.58,84.9,55.77
10/30/2006,42.48,84.4,56.1
10/27/2006,42.21,83.42,56.55
10/26/2006,42.82,85.85,55.14
10/25/2006,42.43,84.5,56.1
10/24/2006,42.14,83.48,56.74
