Date,Open,High,Low,Close,Volume,Adj Close
2008-09-10,21.53,21.73,19.98,20.66,80490300,20.25
2008-09-09,22.89,23.85,21.00,21.08,98054000,20.66
2008-09-08,24.97,25.03,22.15,23.62,133180300,23.15
2008-09-05,20.04,21.97,20.00,21.93,78807300,21.49
2008-09-04,22.15,22.46,20.69,20.81,59755900,20.39
2008-09-03,21.84,22.74,21.53,22.74,55590300,22.28
2008-09-02,22.53,22.84,21.37,21.96,54754000,21.52
2008-08-29,21.00,21.79,20.94,21.03,38149600,20.61
2008-08-28,20.48,21.55,20.27,21.39,42892400,20.96
2008-08-27,19.35,20.04,19.11,19.90,34894300,19.50
2008-08-26,19.09,19.63,18.72,19.25,40078000,18.86
2008-08-25,19.83,19.90,19.08,19.17,38440100,18.79
2008-08-22,19.97,20.25,19.50,20.22,49621400,19.81
2008-08-21,18.74,19.44,18.61,19.16,47732400,18.78
2008-08-20,19.13,19.62,18.50,19.58,66586800,19.19
2008-08-19,19.62,19.81,18.75,19.23,52858500,18.84
2008-08-18,21.33,21.39,20.06,20.25,46722700,19.84
2008-08-15,21.53,22.19,21.15,21.48,46595500,21.05
2008-08-14,19.95,21.41,19.85,21.11,59602400,20.69
2008-08-13,20.81,20.88,19.59,20.22,78082700,19.81
2008-08-12,22.76,22.79,20.91,21.59,54706700,21.16
2008-08-11,22.40,24.18,22.10,23.36,54579000,22.89
2008-08-08,20.82,22.83,20.80,22.42,51568700,21.97
2008-08-07,22.25,22.74,20.74,21.26,53888400,20.83
2008-08-06,22.77,23.39,22.39,23.18,52347000,22.72
2008-08-05,22.15,23.47,21.87,23.36,49572500,22.89
2008-08-04,21.51,22.08,20.81,21.45,50663900,21.02
2008-08-01,22.00,22.25,20.79,22.05,58390700,21.61
2008-07-31,21.48,22.53,21.32,21.79,63296100,21.35
2008-07-30,22.30,22.79,20.90,22.26,87642400,21.81
2008-07-29,19.14,21.75,18.72,21.41,80692600,20.98
2008-07-28,20.41,21.22,18.76,19.05,61837400,18.67
2008-07-25,20.84,21.62,19.86,20.62,66058000,20.21
2008-07-24,23.85,23.90,20.57,20.90,72182900,20.48
2008-07-23,22.45,24.79,22.31,23.67,103231800,23.20
2008-07-22,19.44,22.90,18.96,22.60,85958500,22.15
2008-07-21,21.28,21.63,20.21,20.42,70140800,20.01
2008-07-18,20.66,21.08,19.54,20.40,75976200,19.99
2008-07-17,19.45,20.68,18.38,19.56,141314800,19.17
2008-07-16,15.71,18.26,15.16,17.30,104637300,16.95
2008-07-15,15.32,16.50,14.08,14.75,105422900,14.45
2008-07-14,18.26,18.49,15.65,15.65,75543700,15.34
2008-07-11,17.24,18.36,16.25,17.80,76791900,17.44
2008-07-10,18.10,18.82,17.66,18.17,59495600,17.81
2008-07-09,20.63,20.78,18.35,18.58,45011700,18.21
2008-07-08,18.51,20.59,18.04,20.59,53090000,20.18
2008-07-07,19.90,20.18,17.90,18.10,45306100,17.74
2008-07-03,20.13,20.28,19.22,19.54,21499600,19.15
2008-07-02,20.56,21.02,19.65,19.65,36402100,19.26
2008-07-01,19.62,20.47,19.00,20.24,58706900,19.83
2008-06-30,20.86,20.95,19.99,20.14,29714600,19.74
2008-06-27,21.43,21.75,20.42,20.67,31950500,20.26
2008-06-26,22.09,22.54,21.33,21.36,48694600,20.93
2008-06-25,23.31,24.50,22.97,23.12,46943100,22.66
2008-06-24,22.53,23.51,21.94,22.96,59948500,22.50
2008-06-23,23.97,24.08,22.46,22.46,33279000,21.91
2008-06-20,24.10,24.84,23.56,23.71,34825900,23.13
2008-06-19,24.62,24.97,23.61,24.88,30692700,24.27
2008-06-18,24.51,25.11,24.02,24.60,31379500,24.00
2008-06-17,27.32,27.38,25.19,25.20,22829100,24.59
2008-06-16,25.78,27.11,25.48,26.72,15872200,26.07
